Time, Regions, Area
12,36,100,9212.266666666666
12,37,91,11785.483333333334
12,38,73,7793.116666666667
12,39,79,10325.65
12,40,51,1339.3
12,41,46,1180.4
12,42,27,1531.1333333333334
12,43,32,1393.1666666666667
12,44,23,0.0
12,45,17,0.0
12,46,49,4512.683333333333
12,47,38,2939.016666666667
12,48,48,3213.266666666667
12,49,58,4817.283333333334
12,50,57,9049.7
12,51,92,9882.75
12,52,73,3451.9333333333334
12,53,85,9800.316666666668
12,54,93,11026.833333333334
12,55,83,2362.5
12,56,71,3735.35
12,57,56,4232.8
12,58,43,3822.6833333333334
12,59,26,1188.9833333333333
13,00,54,970.8666666666667
13,01,42,871.0166666666667
13,02,79,4328.266666666666
13,03,82,3379.85
13,04,96,11757.566666666668
13,05,82,7822.5
13,06,73,6237.883333333333
13,07,95,10924.466666666667
13,08,53,1538.0666666666666
13,09,60,2235.3166666666666
13,10,58,4652.6
13,11,79,7112.866666666667
13,12,78,3553.483333333333
13,13,75,10233.4
13,14,121,23002.733333333334
13,15,118,9386.716666666667
13,16,97,10015.85
13,17,138,15276.25
13,18,144,18610.683333333334
13,19,110,17216.85
13,20,143,19722.9
13,21,131,11858.933333333332
13,22,112,9456.783333333333
13,23,89,10653.166666666666
13,24,111,10018.933333333332
13,25,119,16261.766666666666
13,26,69,5294.916666666667
13,27,65,5460.266666666666
13,28,67,5149.833333333333
13,29,57,1503.2
13,30,70,4616.516666666666
13,31,54,2481.8
13,32,23,790.0833333333334
13,33,7,0.0
13,34,8,0.0
13,35,9,0.0
13,36,9,0.0
13,37,61,3030.2
13,38,65,1145.15
13,39,51,4664.266666666666
13,40,137,23633.25
13,41,61,8374.5
13,42,118,16695.816666666666
13,43,86,10007.15
13,44,109,7505.6
13,45,94,10188.733333333334
13,46,104,12056.566666666668
13,47,124,9272.55
13,48,109,20352.066666666666
13,49,110,7744.033333333334
13,50,69,13431.5
13,51,45,1136.65
13,52,97,13508.233333333334
13,53,71,4174.25
13,54,79,7943.2
13,55,57,7084.5
13,56,33,2273.45
13,57,36,2934.9666666666667
13,58,16,46.833333333333336
13,59,32,0.0
14,00,44,1688.8
14,01,54,3283.383333333333
14,02,73,8364.233333333334
14,03,69,3100.7166666666667
14,04,52,5475.383333333333
14,05,40,1944.45
14,06,25,534.8833333333333
14,07,23,845.45
14,08,69,7595.116666666667
14,09,132,12474.0
14,10,125,13065.616666666667
14,11,129,15732.25
14,12,99,8011.8
14,13,108,13854.533333333333
14,14,143,19620.466666666667
14,15,128,15355.75
14,16,125,17369.783333333333
14,17,116,18702.683333333334
14,18,91,5970.6
14,19,68,5106.5
14,20,62,8803.166666666666
14,21,55,5859.766666666666
14,22,41,1468.6166666666666
14,23,40,3367.016666666667
14,24,33,1451.65
14,25,60,6488.266666666666
14,26,80,5851.616666666667
14,27,48,1852.3
14,28,102,6355.783333333334
14,29,38,1423.6666666666667
14,30,19,0.0
14,31,23,732.4666666666667
14,32,40,5223.3
14,33,25,388.8333333333333
14,34,20,2725.15
14,35,26,1463.3666666666666
14,36,14,0.0
14,37,20,693.7166666666667
14,38,45,5413.566666666667
14,39,86,9756.95
14,40,73,6626.616666666667
14,41,55,5145.216666666666
14,42,62,1981.2833333333333
14,43,87,7049.55
14,44,96,8806.433333333332
14,45,59,4008.25
14,46,54,4486.05
14,47,54,964.7333333333333
14,48,78,8074.916666666667
14,49,36,3664.133333333333
14,50,48,1378.8833333333334
14,51,33,4259.316666666667
14,52,53,6592.133333333333
14,53,25,2630.0
14,54,49,1521.2166666666667
14,55,73,4978.5
14,56,55,7961.883333333333
14,57,75,7548.55
14,58,72,4563.283333333334
14,59,61,1731.5166666666667
15,00,57,9026.716666666667
15,01,61,5269.1
15,02,71,7083.233333333334
15,03,96,14030.533333333333
15,04,95,7902.45
15,05,85,8711.933333333332
15,06,86,6617.816666666667
15,07,86,9049.45
15,08,66,8789.8
15,09,58,6478.333333333333
15,10,64,3267.1
15,11,85,5857.183333333333
15,12,75,6651.083333333333
15,13,77,8247.4
15,14,92,7674.183333333333
15,15,77,10315.333333333334
15,16,108,15769.05
15,17,102,10379.466666666667
15,18,74,3614.9
15,19,114,8467.933333333332
15,20,91,8139.783333333334
15,21,126,17561.316666666666
15,22,99,7999.783333333334
15,23,145,12335.333333333334
15,24,87,7638.55
15,25,67,2702.133333333333
15,26,100,7463.266666666666
15,27,122,18355.6
15,28,110,5065.616666666667
15,29,75,8881.85
15,30,113,10980.3
15,31,71,5573.566666666667
15,32,61,916.7666666666667
15,33,112,7540.216666666666
15,34,65,113.83333333333333
15,35,44,1085.85
15,36,12,0.0
15,37,37,2898.5666666666666
15,38,34,455.18333333333334
15,39,55,5249.833333333333
15,40,65,2932.866666666667
15,41,52,1736.3
15,42,65,2374.35
15,43,56,4228.933333333333
15,44,64,2998.2
15,45,62,4716.4
15,46,60,2269.6
15,47,83,11758.366666666667
15,48,74,4637.583333333333
15,49,79,10984.216666666667
15,50,75,11245.15
15,51,67,2703.9
15,52,70,6888.666666666667
15,53,77,5382.083333333333
15,54,62,2625.0333333333333
15,55,102,10180.083333333334
15,56,129,22975.683333333334
15,57,115,14452.983333333334
15,58,88,4973.483333333334
15,59,107,8031.9
16,00,99,5785.933333333333
16,01,140,15079.566666666668
16,02,129,12675.133333333333
16,03,121,10489.383333333333
16,04,92,6519.933333333333
16,05,125,5061.733333333334
16,06,81,1730.5833333333333
16,07,122,16606.716666666667
16,08,120,19844.833333333332
16,09,105,6167.166666666667
16,10,103,14977.183333333332
16,11,122,13490.35
16,12,77,2995.8333333333335
16,13,87,6923.283333333334
16,14,76,7544.3
16,15,98,6196.383333333333
16,16,123,16921.483333333334
16,17,105,9061.9
16,18,94,10069.4
16,19,87,7720.766666666666
16,20,97,9671.483333333334
16,21,71,3262.4333333333334
16,22,72,7444.683333333333
16,23,76,17863.433333333334
16,24,54,1046.9833333333333
16,25,40,562.7166666666667
16,26,38,1672.7
16,27,46,2407.366666666667
16,28,10,0.0
16,29,11,0.0
16,30,46,1618.9666666666667
16,31,77,5218.166666666667
16,32,83,6087.7
16,33,42,2357.75
16,34,85,4358.783333333334
16,35,43,4604.466666666666
16,36,21,17.916666666666668
16,37,29,2191.2
16,38,79,5504.966666666666
16,39,95,8680.716666666667
16,40,92,8741.7
16,41,129,19798.1
16,42,120,8321.55
16,43,99,7283.133333333333
16,44,91,6356.033333333334
16,45,106,5954.766666666666
16,46,98,4268.316666666667
16,47,119,16347.966666666667
16,48,94,1913.9166666666667
16,49,94,7893.75
16,50,99,5424.966666666666
16,51,131,8561.283333333333
16,52,94,10210.2
16,53,84,3528.2
16,54,116,18620.116666666665
16,55,112,10295.016666666666
16,56,103,15648.883333333333
16,57,91,8250.683333333332
16,58,140,19594.6
16,59,151,15048.8
17,00,156,25535.55
17,01,116,15058.816666666668
17,02,131,18139.983333333334
17,03,110,10302.766666666666
17,04,50,1800.2333333333333
17,05,79,3755.8
17,06,55,2333.766666666667
17,07,20,111.76666666666667
17,08,72,4613.083333333333
17,09,80,9597.766666666666
17,10,96,5811.766666666666
17,11,67,7492.566666666667
17,12,66,8141.416666666667
17,13,55,1190.6833333333334
17,14,65,3264.133333333333
17,15,23,137.4
17,16,16,62.7
17,17,49,1358.5666666666666
17,18,72,6468.783333333334
17,19,87,7576.583333333333
17,20,72,8621.516666666666
17,21,53,3492.95
17,22,64,4571.916666666667
17,23,98,10555.433333333332
17,24,101,11377.25
17,25,72,6706.566666666667
17,26,54,546.9666666666667
17,27,47,3024.6
17,28,53,2969.2833333333333
17,29,50,4592.616666666667
17,30,55,1585.4833333333333
17,31,45,5260.783333333334
