Time, Regions, Area
18,47,165,53459.083333333336
18,48,134,20570.45
18,49,146,42797.48333333333
18,50,142,27039.7
18,51,148,30133.05
18,52,134,39750.13333333333
18,53,142,31427.95
18,54,126,29081.066666666666
18,55,116,21702.766666666666
18,56,126,25190.283333333333
18,57,97,15198.783333333333
18,58,147,42658.03333333333
18,59,112,16598.6
19,00,140,31319.616666666665
19,01,141,26812.8
19,02,152,35529.76666666667
19,03,159,55117.45
19,04,147,45896.933333333334
19,05,153,41183.583333333336
19,06,154,36984.88333333333
19,07,170,42499.0
19,08,147,26529.7
19,09,128,27640.583333333332
19,10,116,22169.25
19,11,119,24888.316666666666
19,12,130,25323.433333333334
19,13,128,33794.4
19,14,118,19446.133333333335
19,15,95,16750.866666666665
19,16,106,17945.666666666668
19,17,132,35734.916666666664
19,18,126,25495.4
19,19,107,17766.45
19,20,156,47622.083333333336
19,21,133,24730.133333333335
19,22,146,28938.45
19,23,142,34374.51666666667
19,24,129,18475.083333333332
19,25,143,11800.85
19,26,134,42244.86666666667
19,27,113,22856.75
19,28,148,46727.433333333334
19,29,140,33799.53333333333
19,30,167,42406.36666666667
19,31,134,21587.866666666665
19,32,126,36725.816666666666
19,33,114,14489.9
19,34,96,17833.433333333334
19,35,155,40899.666666666664
19,36,121,18415.916666666668
19,37,120,16163.933333333332
19,38,141,23834.816666666666
19,39,160,32915.8
19,40,155,47341.1
19,41,168,39457.23333333333
19,42,145,34120.8
19,43,146,27879.116666666665
19,44,157,44589.433333333334
19,45,162,43170.333333333336
19,46,157,32079.983333333334
19,47,167,23565.3
19,48,131,23517.666666666668
19,49,148,40697.0
19,50,124,31200.016666666666
19,51,95,25002.983333333334
19,52,121,18790.983333333334
19,53,134,22385.533333333333
19,54,118,17181.083333333332
19,55,108,15490.133333333333
19,56,120,18579.383333333335
19,57,113,16038.583333333334
19,58,105,16841.7
19,59,123,31055.316666666666
20,00,122,276594.56666666665
20,01,8,65683.25
20,02,1,0.0
20,03,0,0.0
20,04,0,0.0
20,05,0,0.0
20,06,0,0.0
20,07,0,0.0
20,08,0,0.0
20,09,0,0.0
20,10,0,0.0
20,11,0,0.0
20,12,0,0.0
20,13,0,0.0
20,14,0,0.0
20,15,0,0.0
20,16,0,0.0
20,17,0,0.0
20,18,0,0.0
20,19,0,0.0
20,20,0,0.0
20,21,0,0.0
20,22,1,0.0
20,23,0,0.0
20,24,0,0.0
20,25,0,0.0
20,26,0,0.0
20,27,0,0.0
20,28,0,0.0
20,29,0,0.0
20,30,0,0.0
20,31,0,0.0
20,32,0,0.0
20,33,0,0.0
20,34,0,0.0
20,35,0,0.0
20,36,0,0.0
20,37,0,0.0
20,38,0,0.0
20,39,0,0.0
20,40,0,0.0
20,41,0,0.0
20,42,0,0.0
20,43,0,0.0
20,44,0,0.0
20,45,0,0.0
20,46,0,0.0
20,47,0,0.0
20,48,0,0.0
20,49,0,0.0
20,50,0,0.0
20,51,0,0.0
20,52,0,0.0
20,53,0,0.0
20,54,0,0.0
20,55,0,0.0
20,56,0,0.0
20,57,0,0.0
20,58,0,0.0
20,59,0,0.0
21,00,0,0.0
21,01,0,0.0
21,02,0,0.0
21,03,0,0.0
21,04,0,0.0
21,05,0,0.0
21,06,0,0.0
21,07,0,0.0
21,08,0,0.0
21,09,0,0.0
21,10,0,0.0
21,11,0,0.0
21,12,0,0.0
21,13,0,0.0
21,14,0,0.0
21,15,0,0.0
21,16,0,0.0
21,17,0,0.0
21,18,0,0.0
21,19,0,0.0
21,20,0,12.566666666666666
21,21,0,0.0
21,22,0,0.0
21,23,0,0.0
21,24,0,0.0
21,25,0,0.0
21,26,0,0.0
21,27,0,0.0
21,28,0,0.0
21,29,0,0.0
21,30,0,0.0
21,31,0,0.0
21,32,0,0.0
21,33,0,0.0
21,34,0,0.0
21,35,0,0.0
21,36,0,0.0
21,37,0,0.0
21,38,0,0.0
21,39,0,0.0
21,40,0,0.0
21,41,0,0.0
21,42,0,0.0
21,43,0,0.0
21,44,0,0.0
21,45,0,0.0
21,46,0,0.0
21,47,0,0.0
21,48,0,0.0
21,49,0,0.0
21,50,0,0.0
21,51,0,0.0
21,52,0,0.0
21,53,0,0.0
21,54,0,0.0
21,55,0,0.0
21,56,0,0.0
21,57,0,0.0
21,58,0,0.0
21,59,0,0.0
22,00,0,0.0
22,01,0,0.0
22,02,0,0.0
22,03,0,0.0
22,04,0,0.0
22,05,0,0.0
22,06,0,0.0
22,07,0,0.0
22,08,0,0.0
22,09,0,0.0
22,10,0,0.0
22,11,0,0.0
22,12,0,0.0
22,13,0,0.0
22,14,0,0.0
22,15,0,0.0
22,16,0,0.0
22,17,0,0.0
22,18,0,0.0
22,19,0,0.0
22,20,0,0.0
22,21,0,0.0
22,22,0,0.0
22,23,0,0.0
22,24,0,0.0
22,25,0,0.0
22,26,0,0.0
22,27,0,0.0
22,28,0,0.0
22,29,0,0.0
22,30,0,0.0
22,31,0,0.0
22,32,0,0.0
22,33,0,0.0
22,34,0,0.0
22,35,0,0.0
22,36,0,0.0
22,37,0,0.0
22,38,0,0.0
22,39,0,0.0
22,40,0,0.0
22,41,0,0.0
22,42,0,0.0
22,43,0,0.0
22,44,0,0.0
22,45,0,0.0
22,46,0,0.0
22,47,0,0.0
22,48,0,0.0
22,49,0,0.0
22,50,0,0.0
22,51,0,0.0
22,52,0,0.0
22,53,0,0.0
22,54,0,0.0
22,55,0,0.0
22,56,0,0.0
22,57,0,0.0
22,58,0,0.0
22,59,0,0.0
23,00,0,0.0
23,01,0,0.0
23,02,0,0.0
23,03,0,0.0
23,04,0,0.0
23,05,0,0.0
23,06,0,0.0
23,07,0,0.0
23,08,0,0.0
23,09,0,0.0
23,10,0,0.0
23,11,0,0.0
23,12,0,0.0
23,13,0,0.0
23,14,0,0.0
23,15,0,0.0
23,16,0,0.0
23,17,0,0.0
23,18,0,0.0
23,19,0,0.0
23,20,0,0.0
23,21,0,0.0
23,22,0,0.0
23,23,0,0.0
23,24,0,0.0
23,25,0,0.0
23,26,0,0.0
23,27,0,0.0
23,28,0,0.0
23,29,0,0.0
23,30,0,0.0
23,31,0,0.0
23,32,0,0.0
23,33,1,0.0
23,34,3,0.0
23,35,0,0.0
23,36,0,0.0
23,37,0,0.0
23,38,0,0.0
23,39,0,0.0
23,40,0,0.0
23,41,0,0.0
23,42,0,0.0
23,43,0,0.0
23,44,0,0.0
23,45,0,0.0
23,46,0,0.0
23,47,0,0.0
23,48,0,0.0
23,49,0,0.0
23,50,0,0.0
23,51,0,0.0
23,52,0,0.0
23,53,0,0.0
23,54,0,0.0
23,55,0,0.0
23,56,0,0.0
23,57,0,0.0
23,58,0,0.0
23,59,0,0.0
